mz,rt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,isotopes,adduct
#,#,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,#,#
58.06906553,21.89250005,181.1564107,79.82260345,146.4997728,117.7111709,64.55304957,90.08740199,63.16810806,142.7404086,147.4270296,83.01927826,91.42941903,198.0864563,412.8238598,179.7843709,138.6371538,167.4507169,162.8863729,128.8883892,121.8322342,142.9905188,247.1914657,82.48638383,74.09412358,162.4700227,117.9423893,175.4728808,371.6218355,128.1602451,73.00196582,156.655542,250.7016024,93.91315019,112.0327633,95.7707935,127.6530533,146.424476,187.8915422,134.280456,110.6783038,139.4276342,161.772689,186.1126943,182.2056564,215.6629358,148.154333,86.64942089,111.2120546,151.5138221,131.1806168,132.6545827,,[M+H-CH2]+ 71.0753
60.07560024,22.0260006,293.0904288,125.7924544,162.7496357,157.2333248,93.39116965,199.8246214,149.3282667,174.6397325,82.35310004,235.4198407,118.6472936,292.4881371,316.989896,5396.335915,247.1144524,170.5143014,123.8156274,140.2599059,223.4682912,183.4757843,149.9863871,167.1397639,1144.610065,131.0310473,96.8439397,192.6333522,409.9981781,97.06145899,86.2481801,124.4896452,646.801644,194.3864217,115.3830513,80.73479577,428.649421,168.4174298,390.6793464,640.4375376,194.828337,257.697604,212.6608866,193.2266052,218.2718193,226.8532631,272.797662,244.266156,228.2717135,229.9918246,129.2596683,101.4573476,,[M+H-HCOOH]+ 105.075
61.01018429,566.7140067,4222.641905,3175.611793,4669.569648,4248.865768,4344.916003,6179.60115,4014.796647,5717.154339,6416.420821,4079.18971,3649.555839,3676.191286,4372.517834,4365.681507,3033.971746,5830.071451,3614.266298,3462.004417,3808.775794,4068.279524,3674.160904,4516.997486,4665.831309,3825.093725,4030.55693,4120.299512,5085.235088,3678.45853,6314.572918,3496.236769,2914.582937,5916.208515,3212.123019,3780.330418,4314.245142,4272.433188,3658.083743,5296.262829,4255.119355,4971.195988,3959.310704,4064.129393,4423.453528,4406.613125,4396.894929,2530.372703,3822.978205,4355.067496,5368.636248,4345.86145,,[M+2H-HCOOH]2+ 166.006
62.03090412,17.19799991,179.2062302,195.3997005,145.0556829,180.9921712,100.1125483,260.2417184,130.2625404,132.4056688,145.7236498,208.7854516,238.9116693,161.2015394,276.7911528,227.1553539,113.806117,277.6721063,275.062861,157.0499567,162.6951018,236.5065641,242.8394542,127.5632731,181.1015614,263.4445214,166.9663592,157.8007203,244.0511281,224.0525766,249.9512474,171.2731731,419.00242,110.7326047,122.011424,127.6540159,337.5665111,284.7085128,158.4927797,288.106755,208.1044477,263.1354093,307.0003525,111.8221421,84.7982986,285.8988876,182.3518331,100.8007308,163.6248082,149.6369102,200.3645654,81.70550863,,
62.96142146,564.2459825,214.3761451,199.6647192,245.4404835,240.9738595,196.7083538,213.8149668,223.4413061,252.3272824,256.2771974,196.0562558,188.8093166,321.5988711,181.3980601,242.3536751,420.6191537,212.4980334,208.7322223,335.1811066,225.6286501,302.2752085,363.2113515,236.1547144,269.4990241,309.073487,210.6168277,312.96772,254.440855,248.7606496,210.6638504,310.3091537,152.8083911,237.9494152,439.4021171,339.1953629,217.0405736,208.9882137,352.2792697,193.0111583,223.7141603,275.7655521,329.6124767,213.0910969,252.9677882,253.0533856,256.3887826,340.947098,302.8517658,349.140035,324.9950499,204.6492686,,
65.03531056,171.2739958,32.9895782,31.69611024,282.4754392,107.262563,37.78430681,45.6843918,46.95358482,264.4813742,35.70056417,32.67672958,38.33437322,148.7328346,49.29995626,183.1288107,317.4319101,71.42553662,47.35651836,65.83307817,120.5982997,50.41800846,273.4534428,43.87389323,79.28034493,84.36833093,33.31209664,139.7343591,813.2184235,36.23286982,37.70416837,248.802091,469.0794227,93.32353584,30.60629675,36.67249302,584.4377899,511.0722921,48.03353477,52.82307954,133.6583484,196.4240863,69.16425871,101.7257127,388.653618,282.9006305,346.1205616,218.0042194,156.7614395,115.1918653,154.541042,686.5033959,,
66.01871374,15.73999941,200.338692,222.6060839,517.9153106,453.725572,138.6485597,500.4749733,144.7182553,351.6037094,337.9093418,282.2595993,486.2917209,615.0421722,626.62136,664.8113675,284.9135563,527.3667727,297.5057418,377.1194756,292.599942,340.6800917,404.8563604,244.2436063,428.7759578,427.9614228,199.8749339,565.2393671,985.2059237,210.2753405,489.7709484,286.3219666,1186.029665,170.4600691,398.9571778,303.8960938,507.3151554,407.7167668,613.05194,547.8393308,438.158018,871.2991523,510.3426773,190.0818898,189.4859519,533.5521174,629.4813232,223.6832455,335.6076724,261.352881,282.380345,214.624886,,[M+H-CO2]+ 109.008
66.99961855,17.02399985,69.68736906,63.25831337,123.5695907,97.73785453,53.35958948,115.5614534,47.40713013,91.64965952,99.16350519,64.52325155,111.4425093,122.2130957,124.608233,142.4049361,85.12292155,102.4725352,95.43122435,106.4691333,73.50081976,88.58036899,96.08716895,78.80377349,100.7023166,81.77196144,53.15463386,126.9674011,196.8991913,55.27584443,102.9924759,79.37178045,249.4329329,60.82969727,95.83698817,85.80870355,126.9575551,98.69290635,132.6871011,133.4585954,105.0459552,184.546069,108.3480743,56.55816048,69.12577571,136.2387899,131.2692928,58.1010006,92.71496916,78.38618713,72.83606284,51.07444052,,[M+H]+ 65.992 [M+H]+ 65.992
68.03981812,21.88999934,214.6460976,108.8089437,289.8946454,150.1652165,95.40669421,233.0678516,79.56269784,282.9922164,161.760804,100.4446631,182.0360981,491.0001243,271.8618956,447.554466,262.3803795,215.0383235,154.7931818,187.4362416,190.7251992,182.7130348,233.4487854,131.9202712,312.7602707,167.5853816,88.07826802,327.4168158,677.2418555,125.2717864,137.8383568,134.7214215,1070.556949,174.2310263,176.0379644,132.3249493,232.7790791,270.3557688,452.9814935,365.8565969,201.1988095,424.5215971,273.4578109,238.8805833,353.6637783,553.7294201,477.2800116,158.8258891,225.4435232,167.2736187,166.1251716,151.9933561,,
